From,To,Year of order,Duration,Quantity,Weapon description
Taiwan,eSwatini,2019.0,1,2.0,helicopter
South Yemen,Ethiopia,1986.0,1,3.0,FAC
Netherlands,Ethiopia,1970.0,1,1.0,patrol craft
United States,Ethiopia,1976.0,1,4.0,patrol craft
Yugoslavia,Ethiopia,1975.0,1,1.0,patrol craft
Germany,Ethiopia,1974.0,1,2.0,light transport aircraft
United Kingdom,Ethiopia,1965.0,1,1.0,light transport aircraft
Sweden,Ethiopia,1965.0,1,4.0,trainer aircraft
Sweden,Ethiopia,1950.0,1,4.0,trainer aircraft
Sweden,Ethiopia,1950.0,2,9.0,trainer aircraft
Soviet Union,Ethiopia,1977.0,1,2.0,transport aircraft
Czechoslovakia,Ethiopia,1948.0,1,20.0,light tank
Germany,Ethiopia,2019.0,1,6.0,trainer aircraft
United Kingdom,Ethiopia,1968.0,1,4.0,bomber aircraft
United States,Ethiopia,1972.0,1,2.0,trainer aircraft
United States,Ethiopia,1968.0,1,6.0,light aircraft
United States,Ethiopia,1965.0,3,12.0,FGA aircraft
United States,Ethiopia,1962.0,1,4.0,trainer aircraft
United States,Ethiopia,1970.0,1,4.0,trainer/light aircraft
Soviet Union,Ethiopia,1976.0,1,2.0,transport helicopter
United States,Ethiopia,1966.0,1,2.0,transport aircraft
United States,Ethiopia,1974.0,1,4.0,light transport aircraft
Soviet Union,Ethiopia,1965.0,1,1.0,transport aircraft
United States,Ethiopia,1961.0,1,1.0,OPV/support ship
Yugoslavia,Ethiopia,1960.0,1,2.0,FAC
United States,Ethiopia,1957.0,1,1.0,patrol craft
Hungary,Ethiopia,1997.0,1,4.0,transport helicopter
United States,Ethiopia,1974.0,1,3.0,FGA aircraft
United States,Ethiopia,1965.0,1,12.0,trainer/combat aircraft
United States,Ethiopia,1952.0,1,20.0,light tank
United States,Ethiopia,2017.0,1,1.0,transport aircraft
United States,Ethiopia,1964.0,1,2.0,transport aircraft
United States,Fiji,1975.0,2,3.0,minesweeper
France,Fiji,1990.0,1,1.0,helicopter
Australia,Fiji,2014.0,1,1.0,patrol craft
Australia,Fiji,2017.0,1,10.0,APC
France,Fiji,1990.0,1,1.0,light helicopter
Australia,Fiji,1992.0,2,3.0,patrol craft
Israel,Finland,2023.0,1,0.0,ABM system
Italy,Finland,2006.0,3,3.0,MCM ship
Germany,Finland,2020.0,1,0.0,ship engine
Norway,Finland,2018.0,3,4.0,ASW sonar
Germany,Finland,1987.0,3,8.0,ship engine
Israel,Finland,2019.0,1,0.0,air search radar
Sweden,Finland,2017.0,1,0.0,anti-ship/ASW torpedo
United States,Finland,2023.0,1,0.0,self-propelled MRL
Germany,Finland,2002.0,1,124.0,tank
United States,Finland,2021.0,1,0.0,FGA aircraft
United Kingdom,Finland,1970.0,2,12.0,turbojet
Netherlands,Finland,2006.0,1,22.0,self-propelled MRL
Israel,Finland,1999.0,1,6.0,UAV
Norway,Finland,1998.0,1,1.0,light helicopter
Sweden,Finland,1998.0,1,2.0,light helicopter
Russia,Finland,1996.0,1,3.0,SAM system
Germany,Finland,1992.0,1,3.0,APC
Germany,Finland,1993.0,1,110.0,IFV
Germany,Finland,1992.0,1,97.0,tank
Sweden,Finland,1995.0,1,1.0,naval gun
United Kingdom,Finland,1990.0,2,7.0,trainer/combat aircraft
United States,Finland,1983.0,1,2.0,light transport aircraft
United States,Finland,1982.0,1,2.0,light helicopter
United States,Finland,1982.0,1,4.0,light transport aircraft
Soviet Union,Finland,1980.0,3,3.0,transport helicopter
Soviet Union,Finland,1962.0,1,24.0,fighter aircraft
Sweden,Finland,2019.0,1,0.0,air search radar
Sweden,Finland,2019.0,1,0.0,air search radar
South Africa,Finland,2012.0,1,25.0,APV
Sweden,Finland,2011.0,1,147.0,APC
Israel,Finland,2023.0,1,0.0,ABM missile
Spain,Finland,2006.0,1,2.0,transport aircraft
Sweden,Finland,1970.0,2,12.0,fighter aircraft
Spain,Finland,2010.0,1,1.0,transport aircraft
Canada,Finland,2006.0,1,4.0,aircraft engine
Germany,Finland,2002.0,3,3.0,air/sea search radar
Netherlands,Finland,2017.0,1,9.0,ARV
Sweden,Finland,2019.0,1,0.0,fire control radar
Sweden,Finland,2019.0,1,0.0,anti-ship/ASW torpedo
United States,Finland,2020.0,1,0.0,naval SAM system
Switzerland,Finland,2007.0,1,18.0,trainer/combat aircraft
Sweden,Finland,2023.0,1,0.0,anti-tank missile
United States,Finland,2009.0,1,11.0,guided glide bomb
United States,Finland,1980.0,1,3.0,light transport aircraft
United States,Finland,1974.0,1,2.0,light transport aircraft
United States,Finland,2020.0,1,0.0,gas turbine
United States,Finland,2010.0,1,1.0,SIGINT system
Switzerland,Finland,2009.0,1,6.0,light transport aircraft
Sweden,Finland,1972.0,1,6.0,fighter aircraft
Canada,Finland,2010.0,1,2.0,aircraft engine
Iceland,Finland,1980.0,1,4.0,light aircraft
Italy,Finland,1995.0,1,1.0,helicopter
United States,Finland,2022.0,1,0.0,SAM
Sweden,France,2009.0,3,53.0,APC
Switzerland,France,2021.0,2,9.0,trainer aircraft
Mexico,France,1953.0,1,2.0,bomber aircraft
United States,France,2016.0,2,2.0,transport aircraft
Sweden,France,1999.0,1,12.0,APC
United States,France,2020.0,1,0.0,AEW&C aircraft
Germany,France,2006.0,1,18.0,trainer aircraft
United States,France,2001.0,1,4.0,aircraft engine
United States,France,2002.0,1,6.0,aircraft engine
United States,France,1996.0,3,14.0,aircraft engine
United States,France,1995.0,2,2.0,AEW&C aircraft
Germany,France,2002.0,1,12.0,UAV
United States,France,1956.0,4,108.0,helicopter
Spain,France,2002.0,1,3.0,transport aircraft
Belgium,France,1997.0,1,3.0,MCM ship
Switzerland,France,1990.0,1,5.0,trainer aircraft
Spain,France,1988.0,1,2.0,transport aircraft
Netherlands,France,1985.0,1,6.0,ASW aircraft
United States,France,2003.0,2,2.0,FGA aircraft
Switzerland,France,2016.0,2,17.0,trainer aircraft
Finland,France,2009.0,1,2.0,ship engine
Finland,France,2009.0,1,1.0,ship engine
Israel,France,2009.0,1,1.0,UAV
United Kingdom,France,1965.0,1,1.0,landing ship
United States,France,2008.0,1,5.0,APC
United States,France,1950.0,1,40.0,fighter aircraft
United States,France,1956.0,2,60.0,bomber aircraft
United States,France,1950.0,1,29.0,bomber aircraft
Canada,France,1954.0,1,6.0,minesweeper
United States,France,2016.0,2,2.0,tanker/transport aircraft
Italy,France,2019.0,1,1.0,replenishment ship
Brazil,France,1968.0,1,22.0,light aircraft
United States,France,1953.0,1,3.0,patrol craft
Norway,France,1964.0,1,1.0,tanker
United States,France,1988.0,2,4.0,transport aircraft
United States,France,1990.0,2,2.0,transport aircraft
United States,France,1950.0,1,1.0,aircraft carrier
DR Congo,France,1997.0,1,2.0,transport aircraft
Israel,France,2005.0,1,3.0,UAV
United States,France,1999.0,1,1.0,AEW&C aircraft
Spain,France,1996.0,3,7.0,transport aircraft
Spain,France,1987.0,2,5.0,transport aircraft
United States,France,1987.0,2,4.0,AEW&C aircraft
United States,France,1953.0,1,1.0,aircraft carrier
Belgium,France,2009.0,1,2.0,helicopter
Canada,France,1990.0,1,5.0,aircraft engine
United States,France,2013.0,4,6.0,UAV
Spain,France,2010.0,3,8.0,transport aircraft
United States,France,2020.0,1,1.0,UAV
Austria,France,2018.0,1,1.0,UAV
India,France,2020.0,1,0.0,transport aircraft
Switzerland,France,1990.0,1,5.0,light transport aircraft
Italy,France,2006.0,8,8.0,naval gun
United States,Gabon,1981.0,1,1.0,transport aircraft
United States,Gabon,1975.0,1,1.0,transport aircraft
Spain,Gabon,2023.0,1,1.0,transport aircraft
United States,Gabon,1973.0,1,1.0,transport aircraft
United States,Gabon,1989.0,1,2.0,aircraft engine
Spain,Gabon,1989.0,1,1.0,transport aircraft
United States,Gabon,1980.0,1,1.0,MP aircraft radar
France,Gabon,1985.0,2,2.0,patrol craft
France,Gabon,1975.0,1,2.0,helicopter
Brazil,Gabon,1981.0,1,12.0,reconnaissance AV
France,Gabon,1983.0,1,1.0,landing ship
United States,Gabon,1982.0,1,4.0,trainer aircraft
France,Gabon,1980.0,1,18.0,armoured car
Brazil,Gabon,1980.0,1,3.0,light transport aircraft
Brazil,Gabon,1980.0,1,1.0,maritime patrol aircraft
France,Gabon,1976.0,1,1.0,FAC
United States,Gabon,1977.0,1,1.0,transport aircraft
Sweden,Gabon,1981.0,1,12.0,IFV turret
Sweden,Gabon,1985.0,1,1.0,naval gun
Canada,Gabon,2023.0,1,2.0,aircraft engine
France,Gabon,1973.0,1,5.0,FGA aircraft
France,Gabon,2020.0,1,4.0,armoured car
Georgia,Gambia,2001.0,1,1.0,ground attack aircraft
China,Gambia,1989.0,1,2.0,patrol craft
Turkiye,Gambia,2023.0,1,2.0,APV
Ukraine,Georgia,2004.0,2,40.0,IFV
Germany,Georgia,1998.0,1,1.0,minesweeper
Turkiye,Georgia,1998.0,1,1.0,patrol craft
Turkiye,Georgia,2008.0,2,2.0,patrol craft
Bulgaria,Georgia,2001.0,1,2.0,landing craft
United States,Georgia,1999.0,1,6.0,helicopter
France,Georgia,2015.0,1,2.0,air search radar
United States,Georgia,2015.0,1,2.0,patrol craft
Ukraine,Georgia,1999.0,1,1.0,FAC
France,Georgia,2015.0,1,1.0,air search radar
Russia,Georgia,1993.0,1,5.0,tank
United States,Georgia,2022.0,1,82.0,anti-tank missile
Sweden,Germany,2002.0,2,31.0,APC
United States,Germany,2023.0,1,0.0,SAM
United States,Germany,2022.0,1,0.0,FGA aircraft
United States,Germany,2022.0,1,0.0,BVRAAM
Sweden,Germany,2022.0,1,0.0,APC
Norway,Germany,2021.0,1,0.0,anti-ship missile
United States,Germany,2021.0,1,0.0,ASW aircraft
Italy,Germany,1986.0,2,2.0,naval gun
Canada,Germany,2014.0,1,7.0,FGA aircraft
Netherlands,Germany,2004.0,2,8.0,ASW aircraft
Netherlands,Germany,1963.0,1,1.0,fighter aircraft
United States,Germany,1962.0,1,1.0,AALS
United States,Germany,1960.0,1,2.0,landing ship
United Kingdom,Germany,1960.0,1,1.0,FAC
United States,Germany,1991.0,2,96.0,BVRAAM
Netherlands,Germany,1991.0,1,3.0,naval gun
United Kingdom,Germany,1956.0,1,2.0,corvette
United Kingdom,Germany,1959.0,1,1.0,support ship
United Kingdom,Germany,1960.0,1,1.0,FAC
United States,Germany,1965.0,2,3.0,destroyer
Norway,Germany,1959.0,1,2.0,FAC
United Kingdom,Germany,1957.0,2,3.0,frigate
United Kingdom,Germany,1957.0,1,4.0,frigate
United States,Germany,1976.0,1,10.0,FGA aircraft
United States,Germany,1976.0,1,3.0,helicopter
United States,Germany,1973.0,4,26.0,SSM launcher
Israel,Germany,2021.0,1,1.0,UAV
Italy,Germany,1970.0,4,20.0,naval gun
Italy,Germany,1972.0,4,20.0,naval gun
United States,Germany,1961.0,1,2.0,support ship
United States,Germany,1961.0,1,3.0,landing ship
Switzerland,Germany,2010.0,1,60.0,APV
Switzerland,Germany,2008.0,2,25.0,APV
Croatia,Germany,2017.0,1,3.0,trainer aircraft
United States,Germany,1957.0,1,1.0,patrol craft
United States,Germany,1989.0,3,4.0,naval SAM system
United States,Germany,1986.0,2,2.0,naval SAM system
Italy,Germany,2018.0,1,0.0,naval gun
Italy,Germany,1960.0,1,2.0,tanker
France,Germany,1970.0,4,20.0,FAC
Poland,Germany,2017.0,1,2.0,light transport aircraft
United States,Germany,1956.0,1,100.0,APC
Switzerland,Germany,2014.0,2,76.0,APV
Sweden,Germany,2021.0,1,0.0,UAV
Sweden,Germany,2018.0,1,2.0,UAV
Netherlands,Germany,2014.0,1,1.0,fire control radar
Italy,Germany,2023.0,1,0.0,air search radar
United States,Germany,1996.0,2,3.0,naval SAM system
United States,Germany,1996.0,2,7.0,ASW sonar
Switzerland,Germany,2009.0,2,2.0,AA gun system
United States,Germany,1998.0,1,1.0,SIGINT system
Israel,Germany,2023.0,1,0.0,ABM missile
United States,Germany,1976.0,1,300.0,APC
Canada,Germany,2020.0,1,0.0,transport aircraft
Sweden,Germany,2021.0,1,0.0,air search radar
Sweden,Germany,2021.0,1,0.0,fire control radar
Sweden,Germany,2021.0,1,0.0,air search radar
United Kingdom,Germany,1996.0,2,7.0,ASW Helicopter
unknown supplier(s),Ghana,2022.0,1,20.0,APC
Brazil,Ghana,2021.0,1,0.0,APC
United Kingdom,Ghana,1966.0,1,7.0,turbojet
Germany,Ghana,1973.0,1,2.0,patrol craft
Italy,Ghana,1987.0,2,4.0,trainer/combat aircraft
United Kingdom,Ghana,1959.0,1,2.0,minesweeper
India,Ghana,1958.0,1,12.0,trainer aircraft
Netherlands,Ghana,1973.0,1,3.0,transport aircraft
Canada,Ghana,1960.0,1,14.0,light transport aircraft
Canada,Ghana,1960.0,1,12.0,light transport aircraft
United Kingdom,Ghana,1971.0,1,8.0,light transport aircraft
France,Ghana,1973.0,1,4.0,light helicopter
United Kingdom,Ghana,1973.0,1,6.0,light transport aircraft
United States,Ghana,1967.0,1,3.0,helicopter
Italy,Ghana,1966.0,1,7.0,trainer/combat aircraft
United Kingdom,Ghana,1976.0,1,6.0,turbojet
Germany,Ghana,1976.0,1,2.0,patrol craft
Italy,Ghana,1976.0,1,6.0,ground attack aircraft
Germany,Ghana,1977.0,1,2.0,patrol craft
Russia,Ghana,2004.0,1,4.0,transport helicopter
South Korea,Ghana,2010.0,1,1.0,patrol craft
United Kingdom,Ghana,1990.0,2,4.0,light transport aircraft
United Kingdom,Ghana,1965.0,1,1.0,landing craft
China,Ghana,2009.0,1,4.0,patrol craft
United States,Ghana,2000.0,1,2.0,cargo ship
Nigeria,Ghana,1989.0,2,12.0,trainer aircraft
Netherlands,Ghana,1973.0,2,2.0,transport aircraft
United Kingdom,Ghana,1987.0,2,4.0,turbojet
China,Ghana,2014.0,1,4.0,helicopter
Canada,Ghana,2014.0,1,2.0,aircraft engine
Spain,Ghana,2015.0,1,1.0,transport aircraft
United Kingdom,Ghana,1964.0,1,3.0,helicopter
Germany,Ghana,2010.0,1,2.0,patrol craft
Spain,Ghana,2011.0,2,2.0,transport aircraft
United States,Ghana,2023.0,1,2.0,patrol craft
United States,Greece,2022.0,1,4.0,patrol craft
France,Greece,2021.0,1,0.0,ASM
Italy,Greece,2022.0,1,0.0,multi-function radar
United States,Greece,1977.0,1,5.0,FGA aircraft
France,Greece,2022.0,1,0.0,anti-ship/land-attack missile
France,Greece,2022.0,1,0.0,SAM
France,Greece,2022.0,1,0.0,FGA aircraft
Israel,Greece,2023.0,1,0.0,SSM/ASM
France,Greece,2021.0,2,5.0,FGA aircraft
France,Greece,1985.0,3,40.0,FGA aircraft
United States,Greece,2021.0,2,444.0,APC
Italy,Greece,2000.0,2,3.0,naval gun
Italy,Greece,1974.0,4,20.0,naval gun
United States,Greece,1989.0,3,8.0,gas turbine
United Kingdom,Greece,1980.0,2,4.0,ship engine
Italy,Greece,1980.0,2,4.0,naval gun
Netherlands,Greece,2003.0,2,2.0,fire control radar
Netherlands,Greece,2003.0,2,2.0,air search radar
France,Greece,2003.0,1,2.0,transport helicopter
Germany,Greece,2005.0,3,183.0,tank
Netherlands,Greece,2003.0,4,6.0,EO search/fire control
Netherlands,Greece,2002.0,1,2.0,frigate
Russia,Greece,2002.0,1,1.0,landing craft
Netherlands,Greece,2002.0,1,8.0,AEV
France,Greece,1998.0,2,2770.0,anti-tank missile
Russia,Greece,2000.0,1,1.0,landing craft
Canada,Greece,1999.0,2,2.0,maritime patrol aircraft
United States,Greece,2001.0,1,10.0,FGA aircraft
Netherlands,Greece,2002.0,1,1.0,frigate
Netherlands,Greece,2001.0,1,1.0,frigate
Netherlands,Greece,2001.0,1,10.0,ARV
Netherlands,Greece,2000.0,2,3.0,fire control radar
Netherlands,Greece,2000.0,2,3.0,air search radar
Germany,Greece,2000.0,1,2.0,FAC
Sweden,Greece,1999.0,1,4.0,AEW radar
France,Greece,1997.0,3,28.0,APV
United States,Greece,2000.0,1,2.0,light transport aircraft
Ukraine,Greece,2000.0,1,1.0,landing craft
United States,Greece,1997.0,1,2.0,ASW helicopter
United States,Greece,1971.0,1,4.0,light helicopter
United States,Greece,1974.0,1,13.0,self-propelled gun
United States,Greece,1971.0,1,4.0,armoured bridgelayer
United States,Greece,1971.0,1,8.0,helicopter
United States,Greece,1960.0,1,2.0,landing ship
United States,Greece,1964.0,1,1.0,landing ship
Germany,Greece,1968.0,1,5.0,FAC
United States,Greece,1960.0,1,1.0,landing ship
United States,Greece,1997.0,2,40.0,SSM
Netherlands,Greece,1997.0,1,1.0,frigate
United States,Greece,1950.0,1,2.0,destroyer
Italy,Greece,1995.0,1,2.0,minesweeper
United States,Greece,1977.0,1,1.0,destroyer
United States,Greece,1971.0,1,1.0,destroyer
Russia,Greece,2000.0,3,10.0,mobile SAM system
Germany,Greece,1994.0,1,1.0,support ship
Germany,Greece,1991.0,1,1.0,APC
Netherlands,Greece,1991.0,1,53.0,self-propelled mortar
Netherlands,Greece,1992.0,3,3.0,frigate
Germany,Greece,1992.0,1,4.0,landing craft
Germany,Greece,1991.0,1,1.0,support ship
Germany,Greece,1986.0,1,34.0,anti-tank missile
United States,Greece,1991.0,1,72.0,self-propelled gun
Netherlands,Greece,1991.0,2,172.0,tank
Germany,Greece,1989.0,3,5.0,corvette
Jordan,Greece,1988.0,1,10.0,trainer aircraft
United States,Greece,1989.0,1,16.0,anti-ship missile
Germany,Greece,1976.0,2,7.0,FAC
United States,Greece,1958.0,1,6.0,landing ship
Norway,Greece,1965.0,1,6.0,FAC
Germany,Greece,1975.0,1,1.0,support ship
United States,Greece,1973.0,1,1.0,submarine
United States,Greece,1977.0,1,2.0,landing ship
France,Greece,1969.0,1,26.0,anti-ship missile
Germany,Greece,1967.0,2,4.0,submarine
United States,Greece,1971.0,1,1.0,destroyer
United States,Greece,1969.0,1,5.0,minesweeper
Germany,Greece,1976.0,1,1.0,cargo ship
France,Greece,1969.0,2,4.0,FAC
Netherlands,Greece,1980.0,1,1.0,frigate
Germany,Greece,1989.0,1,2.0,landing craft
United Kingdom,Greece,1977.0,1,2.0,light transport aircraft
France,Greece,1974.0,2,4.0,FAC
United States,Greece,1975.0,2,40.0,trainer aircraft
United States,Greece,1976.0,1,2.0,FGA aircraft
United States,Greece,1975.0,1,8.0,reconnaissance aircraft
United States,Greece,1974.0,1,96.0,SAM
France,Greece,1974.0,4,40.0,FGA aircraft
United States,Greece,1976.0,1,1.0,light transport aircraft
Germany,Greece,1975.0,2,4.0,submarine
Germany,Greece,1967.0,1,1.0,patrol craft
Germany,Greece,1975.0,1,2.0,patrol craft
Germany,Greece,2012.0,1,15.0,APC
Italy,Greece,2003.0,2,2.0,naval gun
France,Greece,2010.0,1,2.0,transport helicopter
Germany,Greece,2003.0,1,82.0,tank
United States,Greece,1998.0,2,10.0,trainer aircraft
Germany,Greece,1992.0,1,12.0,mobile SAM system
Germany,Greece,1979.0,2,101.0,self-propelled AA gun
United States,Greece,1991.0,1,4.0,FGA aircraft
Germany,Greece,1991.0,2,501.0,IFV
United States,Greece,2005.0,2,30.0,FGA aircraft
United States,Greece,1951.0,1,2.0,minelayer
United States,Greece,1957.0,2,2.0,submarine
Italy,Greece,2003.0,4,8.0,transport aircraft
United Kingdom,Greece,2000.0,2,3.0,FAC
Denmark,Greece,1988.0,1,2.0,OPV
Germany,Greece,2000.0,2,12.0,ship engine
France,Greece,1966.0,1,8.0,light helicopter
Israel,Greece,2023.0,1,0.0,UAV
Israel,Greece,2023.0,1,0.0,coastal defence system
Netherlands,Greece,1991.0,1,11.0,FGA aircraft
Italy,Greece,1950.0,1,1.0,cruiser
Germany,Greece,1995.0,1,2.0,FAC
Germany,Greece,1993.0,1,2.0,FAC
Germany,Greece,2005.0,2,150.0,tank
Israel,Greece,2023.0,1,0.0,SSM/ASM
United States,Greece,2017.0,1,60.0,combat helicopter
Canada,Greece,1980.0,2,2.0,ASW sonar
Netherlands,Greece,1981.0,1,1.0,frigate
United States,Greece,1981.0,1,1.0,naval SAM system
United States,Greece,1980.0,1,1.0,naval SAM system
France,Greece,2022.0,1,0.0,frigate
Spain,Greece,2021.0,1,0.0,UAV
Germany,Greece,1967.0,1,1.0,FAC
United States,Greece,1988.0,3,4.0,naval SAM system
United States,Greece,2007.0,1,40.0,guided glide bomb
Germany,Greece,1967.0,1,1.0,FAC
United States,Greece,2016.0,1,15.0,turbojet
United States,Greece,2000.0,2,3.0,ASW helicopter
France,Greece,1978.0,2,6.0,FAC
United States,Greece,1978.0,1,1.0,light transport aircraft
Germany,Greece,1988.0,3,4.0,frigate
United Kingdom,Greece,1999.0,2,2.0,MCM ship
Brazil,Greece,1999.0,1,4.0,AEW&C aircraft
Sweden,Greece,1999.0,1,2.0,AEW&C aircraft
United States,Greece,1971.0,1,1.0,AALS
United States,Greece,1971.0,1,1.0,landing ship
United States,Greece,1972.0,2,3.0,destroyer
United States,Greece,1992.0,1,3.0,frigate
United States,Greece,1990.0,1,4.0,destroyer
Germany,Greece,2003.0,2,8.0,ship engine
United Kingdom,Greece,1980.0,2,4.0,ship engine
United States,Greece,1991.0,1,26.0,FGA aircraft
Jordan,Greece,1983.0,1,15.0,FGA aircraft
United States,Greece,1959.0,1,1.0,tanker
Italy,Greece,2018.0,1,12.0,light aircraft
United Kingdom,Greece,2003.0,2,2.0,FAC
United States,Greece,1990.0,1,28.0,FGA aircraft
United States,Greece,1998.0,1,18.0,self-propelled MRL
Germany,Greece,2002.0,1,1.0,submarine
Italy,Greece,1999.0,1,1.0,replenishment ship
United States,Greece,1999.0,1,7.0,transport helicopter
United States,Greece,1980.0,1,7.0,ASW sonar
United States,Greece,1972.0,1,1.0,tanker
Germany,Greece,2002.0,1,1.0,submarine
Russia,Greece,2000.0,1,1.0,landing craft
United States,Greece,1950.0,1,206.0,light tank
United States,Greece,1993.0,1,11.0,APC
Netherlands,Greece,2000.0,2,3.0,EO search/fire control
United Kingdom,Greece,2008.0,2,2.0,FAC
Netherlands,Greece,2003.0,3,4.0,fire control radar
United States,Greece,1991.0,1,150.0,APC
Germany,Greece,2020.0,1,0.0,anti-ship/ASW torpedo
Israel,Greece,2023.0,1,0.0,SSM/ASM
Israel,Greece,2020.0,1,2.0,maritime patrol UAV
United States,Guatemala,2017.0,1,1.0,patrol craft
United States,Guatemala,2022.0,1,2.0,helicopter
United States,Guatemala,1965.0,1,2.0,trainer aircraft
United States,Guatemala,1963.0,1,2.0,fighter aircraft
Nicaragua,Guatemala,1955.0,1,1.0,fighter aircraft
United States,Guatemala,1955.0,1,1.0,light transport aircraft
United States,Guatemala,1951.0,1,6.0,transport aircraft
Israel,Guatemala,1974.0,2,10.0,transport aircraft
United States,Guatemala,2023.0,1,4.0,APC
Venezuela,Guatemala,2008.0,1,1.0,light transport aircraft
United States,Guatemala,1964.0,1,3.0,light aircraft
United States,Guatemala,1964.0,1,2.0,trainer aircraft
United States,Guatemala,1974.0,1,3.0,transport aircraft
United States,Guatemala,1954.0,1,3.0,light helicopter
United States,Guatemala,2018.0,1,1.0,light transport aircraft
United States,Guatemala,1954.0,3,13.0,fighter aircraft
United States,Guatemala,1984.0,1,2.0,transport aircraft
United States,Guatemala,1965.0,1,4.0,helicopter
Israel,Guinea,2000.0,1,2.0,light helicopter
France,Guinea,2017.0,1,1.0,helicopter
unknown supplier(s),Guinea,2012.0,1,1.0,transport aircraft
France,Guinea-Bissau,1978.0,1,1.0,light aircraft
Portugal,Guinea-Bissau,1974.0,1,2.0,light transport aircraft
Portugal,Guinea-Bissau,1974.0,1,9.0,transport aircraft
Portugal,Guinea-Bissau,1974.0,1,2.0,light helicopter
France,Guinea-Bissau,1984.0,1,1.0,light helicopter
Angola,Guinea-Bissau,1980.0,1,1.0,light transport aircraft
Libya,GUNT (Chad)*,1981.0,1,1.0,transport aircraft
United States,Guyana,2020.0,2,2.0,helicopter
Soviet Union,Guyana,1985.0,1,3.0,transport helicopter
United States,Guyana,1974.0,1,2.0,light helicopter
Brazil,Guyana,1981.0,1,1.0,helicopter
United Kingdom,Guyana,1976.0,1,1.0,patrol craft
Brazil,Guyana,2018.0,1,2.0,light transport aircraft
United States,Guyana,2021.0,1,1.0,patrol craft
Canada,Haiti,1983.0,1,4.0,turbofan
United States,Haiti,1973.0,1,8.0,light aircraft
Italy,Haiti,1983.0,1,4.0,trainer/combat aircraft
United States,Haiti,1960.0,1,1.0,support ship
Italy,Haiti,1982.0,1,6.0,trainer aircraft
United States,Haiti,1978.0,1,1.0,tug
United States,Haiti,1960.0,1,1.0,transport aircraft
United States,Haiti,1957.0,1,10.0,trainer aircraft
United Kingdom,Honduras,1978.0,1,12.0,light tank
Taiwan,Honduras,2013.0,1,4.0,helicopter
United States,Honduras,2023.0,1,0.0,patrol craft
Netherlands,Honduras,2012.0,1,2.0,patrol craft
United States,Honduras,2011.0,2,4.0,light aircraft
United States,Honduras,1984.0,1,3.0,light aircraft
United States,Honduras,1954.0,1,1.0,fighter aircraft
United States,Honduras,1986.0,1,1.0,landing craft
United States,Honduras,1986.0,1,5.0,helicopter
Israel,Honduras,1976.0,1,2.0,transport aircraft
Israel,Honduras,2016.0,1,1.0,patrol craft
unknown supplier(s),Honduras,2019.0,1,1.0,light helicopter
United States,Honduras,1985.0,1,5.0,helicopter
United Kingdom,Honduras,1978.0,1,3.0,light tank
United Kingdom,Honduras,1978.0,1,1.0,APC
Germany,Hungary,2019.0,1,1.0,AEV/ARV
Germany,Hungary,2018.0,3,20.0,light helicopter
Turkiye,Hungary,2018.0,1,10.0,APC
Sweden,Hungary,2001.0,2,14.0,FGA aircraft
Sweden,Hungary,2015.0,1,1.0,FGA aircraft
Israel,Hungary,2023.0,1,0.0,loitering munition
Soviet Union,Hungary,1951.0,1,12.0,self-propelled MRL
Russia,Hungary,1994.0,4,555.0,APC
Romania,Hungary,1994.0,1,12.0,trainer aircraft
Czechoslovakia,Hungary,1980.0,1,1.0,light transport aircraft
Soviet Union,Hungary,1976.0,1,1.0,height-finding radar
Soviet Union,Hungary,1963.0,3,3.0,air search radar
Soviet Union,Hungary,1976.0,1,2.0,air search radar
Soviet Union,Hungary,1963.0,3,3.0,height-finding radar
Soviet Union,Hungary,1977.0,2,4.0,height-finding radar
Soviet Union,Hungary,1957.0,1,40.0,fighter aircraft
Soviet Union,Hungary,1954.0,1,20.0,trainer aircraft
Soviet Union,Hungary,1974.0,2,10.0,transport aircraft
Finland,Hungary,2011.0,1,2.0,transport helicopter
United States,Hungary,2009.0,1,3.0,APC
United States,Hungary,2013.0,1,12.0,APC
United States,Hungary,2001.0,2,14.0,turbofan
Germany,Hungary,1995.0,1,2.0,combat helicopter
Germany,Hungary,1991.0,1,3.0,fighter aircraft
Germany,Hungary,1993.0,1,20.0,trainer/combat aircraft
Russia,Hungary,2014.0,1,3.0,transport helicopter
Czechia,Hungary,2022.0,1,0.0,trainer/combat aircraft
Russia,Hungary,1993.0,1,28.0,FGA aircraft
Czechoslovakia,Hungary,1968.0,1,40.0,fighter aircraft
Brazil,Hungary,2020.0,1,0.0,transport aircraft
Germany,Hungary,2020.0,1,1.0,armoured bridgelayer
Germany,Hungary,2018.0,1,5.0,tank
Turkiye,Hungary,2023.0,1,0.0,APV
Norway,Iceland,2006.0,1,1.0,OPV
Germany,India,2005.0,4,20.0,ship engine
Germany,India,2016.0,1,0.0,ship engine
France,India,2021.0,1,2.0,FGA aircraft
Israel,India,2021.0,1,0.0,armed UAV
United States,India,2016.0,1,12.0,anti-ship missile/SSM
United States,India,2008.0,2,6.0,transport aircraft
France,India,2021.0,1,0.0,ASM
Brazil,India,2008.0,2,3.0,transport aircraft
United Kingdom,India,1968.0,2,2.0,frigate
United States,India,2006.0,1,1.0,AALS
United States,India,2020.0,1,10.0,anti-ship missile/SSM
Slovakia,India,1993.0,1,35.0,ARV
