From,To,Year of order,Duration,Quantity,Weapon description,Weight
United States,Finland,2021.0,1,0.0,FGA aircraft,8.0
United Kingdom,Finland,1970.0,2,12.0,turbojet,2.0
Netherlands,Finland,2006.0,1,22.0,self-propelled MRL,5.0
Israel,Finland,1999.0,1,6.0,UAV,3.0
Norway,Finland,1998.0,1,1.0,light helicopter,2.0
Sweden,Finland,1998.0,1,2.0,light helicopter,2.0
Russia,Finland,1996.0,1,3.0,SAM system,5.0
Germany,Finland,1992.0,1,3.0,APC,3.0
Germany,Finland,1993.0,1,110.0,IFV,5.0
Germany,Finland,1992.0,1,97.0,tank,8.0
Sweden,Finland,1995.0,1,1.0,naval gun,3.0
United Kingdom,Finland,1990.0,2,7.0,trainer/combat aircraft,5.0
United States,Finland,1983.0,1,2.0,light transport aircraft,2.0
United States,Finland,1982.0,1,2.0,light helicopter,2.0
United States,Finland,1982.0,1,4.0,light transport aircraft,2.0
Soviet Union,Finland,1980.0,3,3.0,transport helicopter,3.0
Soviet Union,Finland,1962.0,1,24.0,fighter aircraft,8.0
Sweden,Finland,2019.0,1,0.0,air search radar,3.0
Sweden,Finland,2019.0,1,0.0,air search radar,3.0
South Africa,Finland,2012.0,1,25.0,APV,3.0
Sweden,Finland,2011.0,1,147.0,APC,3.0
Israel,Finland,2023.0,1,0.0,ABM missile,8.0
Spain,Finland,2006.0,1,2.0,transport aircraft,3.0
Sweden,Finland,1970.0,2,12.0,fighter aircraft,8.0
Spain,Finland,2010.0,1,1.0,transport aircraft,3.0
Canada,Finland,2006.0,1,4.0,aircraft engine,2.0
Germany,Finland,2002.0,3,3.0,air/sea search radar,3.0
Netherlands,Finland,2017.0,1,9.0,ARV,2.0
Sweden,Finland,2019.0,1,0.0,fire control radar,3.0
Sweden,Finland,2019.0,1,0.0,anti-ship/ASW torpedo,5.0
United States,Finland,2020.0,1,0.0,naval SAM system,5.0
Switzerland,Finland,2007.0,1,18.0,trainer/combat aircraft,5.0
Sweden,Finland,2023.0,1,0.0,anti-tank missile,5.0
United States,Finland,2009.0,1,11.0,guided glide bomb,5.0
United States,Finland,1980.0,1,3.0,light transport aircraft,2.0
United States,Finland,1974.0,1,2.0,light transport aircraft,2.0
United States,Finland,2020.0,1,0.0,gas turbine,2.0
United States,Finland,2010.0,1,1.0,SIGINT system,3.0
Switzerland,Finland,2009.0,1,6.0,light transport aircraft,2.0
Sweden,Finland,1972.0,1,6.0,fighter aircraft,8.0
Canada,Finland,2010.0,1,2.0,aircraft engine,2.0
Iceland,Finland,1980.0,1,4.0,light aircraft,2.0
Italy,Finland,1995.0,1,1.0,helicopter,3.0
United States,Finland,2022.0,1,0.0,SAM,5.0
Sweden,France,2009.0,3,53.0,APC,3.0
Switzerland,France,2021.0,2,9.0,trainer aircraft,2.0
Mexico,France,1953.0,1,2.0,bomber aircraft,8.0
United States,France,2016.0,2,2.0,transport aircraft,3.0
Sweden,France,1999.0,1,12.0,APC,3.0
United States,France,2020.0,1,0.0,AEW&C aircraft,8.0
Germany,France,2006.0,1,18.0,trainer aircraft,2.0
United States,France,2001.0,1,4.0,aircraft engine,2.0
United States,France,2002.0,1,6.0,aircraft engine,2.0
United States,France,1996.0,3,14.0,aircraft engine,2.0
United States,France,1995.0,2,2.0,AEW&C aircraft,8.0
Germany,France,2002.0,1,12.0,UAV,3.0
United States,France,1956.0,4,108.0,helicopter,3.0
Spain,France,2002.0,1,3.0,transport aircraft,3.0
Belgium,France,1997.0,1,3.0,MCM ship,3.0
Switzerland,France,1990.0,1,5.0,trainer aircraft,2.0
Spain,France,1988.0,1,2.0,transport aircraft,3.0
Netherlands,France,1985.0,1,6.0,ASW aircraft,5.0
United States,France,2003.0,2,2.0,FGA aircraft,8.0
Switzerland,France,2016.0,2,17.0,trainer aircraft,2.0
Finland,France,2009.0,1,2.0,ship engine,2.0
Finland,France,2009.0,1,1.0,ship engine,2.0
Israel,France,2009.0,1,1.0,UAV,3.0
United Kingdom,France,1965.0,1,1.0,landing ship,5.0
United States,France,2008.0,1,5.0,APC,3.0
United States,France,1950.0,1,40.0,fighter aircraft,8.0
United States,France,1956.0,2,60.0,bomber aircraft,8.0
United States,France,1950.0,1,29.0,bomber aircraft,8.0
Canada,France,1954.0,1,6.0,minesweeper,2.0
United States,France,2016.0,2,2.0,tanker/transport aircraft,3.0
Italy,France,2019.0,1,1.0,replenishment ship,2.0
Brazil,France,1968.0,1,22.0,light aircraft,2.0
United States,France,1953.0,1,3.0,patrol craft,2.0
Norway,France,1964.0,1,1.0,tanker,2.0
United States,France,1988.0,2,4.0,transport aircraft,3.0
United States,France,1990.0,2,2.0,transport aircraft,3.0
United States,France,1950.0,1,1.0,aircraft carrier,13.0
DR Congo,France,1997.0,1,2.0,transport aircraft,3.0
Israel,France,2005.0,1,3.0,UAV,3.0
United States,France,1999.0,1,1.0,AEW&C aircraft,8.0
Spain,France,1996.0,3,7.0,transport aircraft,3.0
Spain,France,1987.0,2,5.0,transport aircraft,3.0
United States,France,1987.0,2,4.0,AEW&C aircraft,8.0
United States,France,1953.0,1,1.0,aircraft carrier,13.0
Belgium,France,2009.0,1,2.0,helicopter,3.0
Canada,France,1990.0,1,5.0,aircraft engine,2.0
United States,France,2013.0,4,6.0,UAV,3.0
Spain,France,2010.0,3,8.0,transport aircraft,3.0
United States,France,2020.0,1,1.0,UAV,3.0
Austria,France,2018.0,1,1.0,UAV,3.0
India,France,2020.0,1,0.0,transport aircraft,3.0
Switzerland,France,1990.0,1,5.0,light transport aircraft,2.0
Italy,France,2006.0,8,8.0,naval gun,3.0
United States,Gabon,1981.0,1,1.0,transport aircraft,3.0
United States,Gabon,1975.0,1,1.0,transport aircraft,3.0
Spain,Gabon,2023.0,1,1.0,transport aircraft,3.0
United States,Gabon,1973.0,1,1.0,transport aircraft,3.0
United States,Gabon,1989.0,1,2.0,aircraft engine,2.0
Spain,Gabon,1989.0,1,1.0,transport aircraft,3.0
United States,Gabon,1980.0,1,1.0,MP aircraft radar,3.0
France,Gabon,1985.0,2,2.0,patrol craft,2.0
France,Gabon,1975.0,1,2.0,helicopter,3.0
Brazil,Gabon,1981.0,1,12.0,reconnaissance AV,3.0
France,Gabon,1983.0,1,1.0,landing ship,5.0
United States,Gabon,1982.0,1,4.0,trainer aircraft,2.0
France,Gabon,1980.0,1,18.0,armoured car,3.0
Brazil,Gabon,1980.0,1,3.0,light transport aircraft,2.0
Brazil,Gabon,1980.0,1,1.0,maritime patrol aircraft,3.0
France,Gabon,1976.0,1,1.0,FAC,3.0
United States,Gabon,1977.0,1,1.0,transport aircraft,3.0
Sweden,Gabon,1981.0,1,12.0,IFV turret,2.0
Sweden,Gabon,1985.0,1,1.0,naval gun,3.0
Canada,Gabon,2023.0,1,2.0,aircraft engine,2.0
France,Gabon,1973.0,1,5.0,FGA aircraft,8.0
France,Gabon,2020.0,1,4.0,armoured car,3.0
Georgia,Gambia,2001.0,1,1.0,ground attack aircraft,8.0
China,Gambia,1989.0,1,2.0,patrol craft,2.0
Turkiye,Gambia,2023.0,1,2.0,APV,3.0
Ukraine,Georgia,2004.0,2,40.0,IFV,5.0
Germany,Georgia,1998.0,1,1.0,minesweeper,2.0
Turkiye,Georgia,1998.0,1,1.0,patrol craft,2.0
Turkiye,Georgia,2008.0,2,2.0,patrol craft,2.0
Bulgaria,Georgia,2001.0,1,2.0,landing craft,3.0
United States,Georgia,1999.0,1,6.0,helicopter,3.0
France,Georgia,2015.0,1,2.0,air search radar,3.0
United States,Georgia,2015.0,1,2.0,patrol craft,2.0
Ukraine,Georgia,1999.0,1,1.0,FAC,3.0
France,Georgia,2015.0,1,1.0,air search radar,3.0
Russia,Georgia,1993.0,1,5.0,tank,8.0
United States,Georgia,2022.0,1,82.0,anti-tank missile,5.0
Sweden,Germany,2002.0,2,31.0,APC,3.0
United States,Germany,2023.0,1,0.0,SAM,5.0
United States,Germany,2022.0,1,0.0,FGA aircraft,8.0
United States,Germany,2022.0,1,0.0,BVRAAM,8.0
Sweden,Germany,2022.0,1,0.0,APC,3.0
Norway,Germany,2021.0,1,0.0,anti-ship missile,8.0
United States,Germany,2021.0,1,0.0,ASW aircraft,5.0
Italy,Germany,1986.0,2,2.0,naval gun,3.0
Canada,Germany,2014.0,1,7.0,FGA aircraft,8.0
Netherlands,Germany,2004.0,2,8.0,ASW aircraft,5.0
Netherlands,Germany,1963.0,1,1.0,fighter aircraft,8.0
United States,Germany,1962.0,1,1.0,AALS,1.0
United States,Germany,1960.0,1,2.0,landing ship,5.0
United Kingdom,Germany,1960.0,1,1.0,FAC,3.0
United States,Germany,1991.0,2,96.0,BVRAAM,8.0
Netherlands,Germany,1991.0,1,3.0,naval gun,3.0
United Kingdom,Germany,1956.0,1,2.0,corvette,5.0
United Kingdom,Germany,1959.0,1,1.0,support ship,2.0
United Kingdom,Germany,1960.0,1,1.0,FAC,3.0
United States,Germany,1965.0,2,3.0,destroyer,8.0
Norway,Germany,1959.0,1,2.0,FAC,3.0
United Kingdom,Germany,1957.0,2,3.0,frigate,5.0
United Kingdom,Germany,1957.0,1,4.0,frigate,5.0
United States,Germany,1976.0,1,10.0,FGA aircraft,8.0
United States,Germany,1976.0,1,3.0,helicopter,3.0
United States,Germany,1973.0,4,26.0,SSM launcher,5.0
Israel,Germany,2021.0,1,1.0,UAV,3.0
Italy,Germany,1970.0,4,20.0,naval gun,3.0
Italy,Germany,1972.0,4,20.0,naval gun,3.0
United States,Germany,1961.0,1,2.0,support ship,2.0
United States,Germany,1961.0,1,3.0,landing ship,5.0
Switzerland,Germany,2010.0,1,60.0,APV,3.0
Switzerland,Germany,2008.0,2,25.0,APV,3.0
Croatia,Germany,2017.0,1,3.0,trainer aircraft,2.0
United States,Germany,1957.0,1,1.0,patrol craft,2.0
United States,Germany,1989.0,3,4.0,naval SAM system,5.0
United States,Germany,1986.0,2,2.0,naval SAM system,5.0
Italy,Germany,2018.0,1,0.0,naval gun,3.0
Italy,Germany,1960.0,1,2.0,tanker,2.0
France,Germany,1970.0,4,20.0,FAC,3.0
Poland,Germany,2017.0,1,2.0,light transport aircraft,2.0
United States,Germany,1956.0,1,100.0,APC,3.0
Switzerland,Germany,2014.0,2,76.0,APV,3.0
Sweden,Germany,2021.0,1,0.0,UAV,3.0
Sweden,Germany,2018.0,1,2.0,UAV,3.0
Netherlands,Germany,2014.0,1,1.0,fire control radar,3.0
Italy,Germany,2023.0,1,0.0,air search radar,3.0
United States,Germany,1996.0,2,3.0,naval SAM system,5.0
United States,Germany,1996.0,2,7.0,ASW sonar,3.0
Switzerland,Germany,2009.0,2,2.0,AA gun system,3.0
United States,Germany,1998.0,1,1.0,SIGINT system,3.0
Israel,Germany,2023.0,1,0.0,ABM missile,8.0
United States,Germany,1976.0,1,300.0,APC,3.0
Canada,Germany,2020.0,1,0.0,transport aircraft,3.0
Sweden,Germany,2021.0,1,0.0,air search radar,3.0
Sweden,Germany,2021.0,1,0.0,fire control radar,3.0
Sweden,Germany,2021.0,1,0.0,air search radar,3.0
United Kingdom,Germany,1996.0,2,7.0,ASW Helicopter,5.0
unknown supplier(s),Ghana,2022.0,1,20.0,APC,3.0
Brazil,Ghana,2021.0,1,0.0,APC,3.0
United Kingdom,Ghana,1966.0,1,7.0,turbojet,2.0
Germany,Ghana,1973.0,1,2.0,patrol craft,2.0
Italy,Ghana,1987.0,2,4.0,trainer/combat aircraft,5.0
United Kingdom,Ghana,1959.0,1,2.0,minesweeper,2.0
India,Ghana,1958.0,1,12.0,trainer aircraft,2.0
Netherlands,Ghana,1973.0,1,3.0,transport aircraft,3.0
Canada,Ghana,1960.0,1,14.0,light transport aircraft,2.0
Canada,Ghana,1960.0,1,12.0,light transport aircraft,2.0
United Kingdom,Ghana,1971.0,1,8.0,light transport aircraft,2.0
France,Ghana,1973.0,1,4.0,light helicopter,2.0
United Kingdom,Ghana,1973.0,1,6.0,light transport aircraft,2.0
United States,Ghana,1967.0,1,3.0,helicopter,3.0
Italy,Ghana,1966.0,1,7.0,trainer/combat aircraft,5.0
United Kingdom,Ghana,1976.0,1,6.0,turbojet,2.0
Germany,Ghana,1976.0,1,2.0,patrol craft,2.0
Italy,Ghana,1976.0,1,6.0,ground attack aircraft,8.0
Germany,Ghana,1977.0,1,2.0,patrol craft,2.0
Russia,Ghana,2004.0,1,4.0,transport helicopter,3.0
South Korea,Ghana,2010.0,1,1.0,patrol craft,2.0
United Kingdom,Ghana,1990.0,2,4.0,light transport aircraft,2.0
United Kingdom,Ghana,1965.0,1,1.0,landing craft,3.0
China,Ghana,2009.0,1,4.0,patrol craft,2.0
United States,Ghana,2000.0,1,2.0,cargo ship,2.0
Nigeria,Ghana,1989.0,2,12.0,trainer aircraft,2.0
Netherlands,Ghana,1973.0,2,2.0,transport aircraft,3.0
United Kingdom,Ghana,1987.0,2,4.0,turbojet,2.0
China,Ghana,2014.0,1,4.0,helicopter,3.0
Canada,Ghana,2014.0,1,2.0,aircraft engine,2.0
Spain,Ghana,2015.0,1,1.0,transport aircraft,3.0
United Kingdom,Ghana,1964.0,1,3.0,helicopter,3.0
Germany,Ghana,2010.0,1,2.0,patrol craft,2.0
Spain,Ghana,2011.0,2,2.0,transport aircraft,3.0
United States,Ghana,2023.0,1,2.0,patrol craft,2.0
United States,Greece,2022.0,1,4.0,patrol craft,2.0
France,Greece,2021.0,1,0.0,ASM,8.0
Italy,Greece,2022.0,1,0.0,multi-function radar,3.0
United States,Greece,1977.0,1,5.0,FGA aircraft,8.0
France,Greece,2022.0,1,0.0,anti-ship/land-attack missile,8.0
France,Greece,2022.0,1,0.0,SAM,5.0
France,Greece,2022.0,1,0.0,FGA aircraft,8.0
Israel,Greece,2023.0,1,0.0,SSM/ASM,8.0
France,Greece,2021.0,2,5.0,FGA aircraft,8.0
France,Greece,1985.0,3,40.0,FGA aircraft,8.0
United States,Greece,2021.0,2,444.0,APC,3.0
Italy,Greece,2000.0,2,3.0,naval gun,3.0
Italy,Greece,1974.0,4,20.0,naval gun,3.0
United States,Greece,1989.0,3,8.0,gas turbine,2.0
United Kingdom,Greece,1980.0,2,4.0,ship engine,2.0
Italy,Greece,1980.0,2,4.0,naval gun,3.0
Netherlands,Greece,2003.0,2,2.0,fire control radar,3.0
Netherlands,Greece,2003.0,2,2.0,air search radar,3.0
France,Greece,2003.0,1,2.0,transport helicopter,3.0
Germany,Greece,2005.0,3,183.0,tank,8.0
Netherlands,Greece,2003.0,4,6.0,EO search/fire control,3.0
Netherlands,Greece,2002.0,1,2.0,frigate,5.0
Russia,Greece,2002.0,1,1.0,landing craft,3.0
Netherlands,Greece,2002.0,1,8.0,AEV,2.0
France,Greece,1998.0,2,2770.0,anti-tank missile,5.0
Russia,Greece,2000.0,1,1.0,landing craft,3.0
Canada,Greece,1999.0,2,2.0,maritime patrol aircraft,3.0
United States,Greece,2001.0,1,10.0,FGA aircraft,8.0
Netherlands,Greece,2002.0,1,1.0,frigate,5.0
Netherlands,Greece,2001.0,1,1.0,frigate,5.0
Netherlands,Greece,2001.0,1,10.0,ARV,2.0
Netherlands,Greece,2000.0,2,3.0,fire control radar,3.0
Netherlands,Greece,2000.0,2,3.0,air search radar,3.0
Germany,Greece,2000.0,1,2.0,FAC,3.0
Sweden,Greece,1999.0,1,4.0,AEW radar,3.0
France,Greece,1997.0,3,28.0,APV,3.0
United States,Greece,2000.0,1,2.0,light transport aircraft,2.0
Ukraine,Greece,2000.0,1,1.0,landing craft,3.0
United States,Greece,1997.0,1,2.0,ASW helicopter,5.0
United States,Greece,1971.0,1,4.0,light helicopter,2.0
United States,Greece,1974.0,1,13.0,self-propelled gun,5.0
United States,Greece,1971.0,1,4.0,armoured bridgelayer,2.0
United States,Greece,1971.0,1,8.0,helicopter,3.0
United States,Greece,1960.0,1,2.0,landing ship,5.0
United States,Greece,1964.0,1,1.0,landing ship,5.0
Germany,Greece,1968.0,1,5.0,FAC,3.0
United States,Greece,1960.0,1,1.0,landing ship,5.0
United States,Greece,1997.0,2,40.0,SSM,8.0
Netherlands,Greece,1997.0,1,1.0,frigate,5.0
United States,Greece,1950.0,1,2.0,destroyer,8.0
Italy,Greece,1995.0,1,2.0,minesweeper,2.0
United States,Greece,1977.0,1,1.0,destroyer,8.0
United States,Greece,1971.0,1,1.0,destroyer,8.0
Russia,Greece,2000.0,3,10.0,mobile SAM system,5.0
Germany,Greece,1994.0,1,1.0,support ship,2.0
Germany,Greece,1991.0,1,1.0,APC,3.0
Netherlands,Greece,1991.0,1,53.0,self-propelled mortar,3.0
Netherlands,Greece,1992.0,3,3.0,frigate,5.0
Germany,Greece,1992.0,1,4.0,landing craft,3.0
Germany,Greece,1991.0,1,1.0,support ship,2.0
Germany,Greece,1986.0,1,34.0,anti-tank missile,5.0
United States,Greece,1991.0,1,72.0,self-propelled gun,5.0
Netherlands,Greece,1991.0,2,172.0,tank,8.0
Germany,Greece,1989.0,3,5.0,corvette,5.0
Jordan,Greece,1988.0,1,10.0,trainer aircraft,2.0
United States,Greece,1989.0,1,16.0,anti-ship missile,8.0
Germany,Greece,1976.0,2,7.0,FAC,3.0
United States,Greece,1958.0,1,6.0,landing ship,5.0
Norway,Greece,1965.0,1,6.0,FAC,3.0
Germany,Greece,1975.0,1,1.0,support ship,2.0
United States,Greece,1973.0,1,1.0,submarine,8.0
United States,Greece,1977.0,1,2.0,landing ship,5.0
France,Greece,1969.0,1,26.0,anti-ship missile,8.0
Germany,Greece,1967.0,2,4.0,submarine,8.0
United States,Greece,1971.0,1,1.0,destroyer,8.0
United States,Greece,1969.0,1,5.0,minesweeper,2.0
Germany,Greece,1976.0,1,1.0,cargo ship,2.0
France,Greece,1969.0,2,4.0,FAC,3.0
Netherlands,Greece,1980.0,1,1.0,frigate,5.0
Germany,Greece,1989.0,1,2.0,landing craft,3.0
United Kingdom,Greece,1977.0,1,2.0,light transport aircraft,2.0
France,Greece,1974.0,2,4.0,FAC,3.0
United States,Greece,1975.0,2,40.0,trainer aircraft,2.0
United States,Greece,1976.0,1,2.0,FGA aircraft,8.0
United States,Greece,1975.0,1,8.0,reconnaissance aircraft,3.0
United States,Greece,1974.0,1,96.0,SAM,5.0
France,Greece,1974.0,4,40.0,FGA aircraft,8.0
United States,Greece,1976.0,1,1.0,light transport aircraft,2.0
Germany,Greece,1975.0,2,4.0,submarine,8.0
Germany,Greece,1967.0,1,1.0,patrol craft,2.0
Germany,Greece,1975.0,1,2.0,patrol craft,2.0
Germany,Greece,2012.0,1,15.0,APC,3.0
Italy,Greece,2003.0,2,2.0,naval gun,3.0
France,Greece,2010.0,1,2.0,transport helicopter,3.0
Germany,Greece,2003.0,1,82.0,tank,8.0
United States,Greece,1998.0,2,10.0,trainer aircraft,2.0
Germany,Greece,1992.0,1,12.0,mobile SAM system,5.0
Germany,Greece,1979.0,2,101.0,self-propelled AA gun,5.0
United States,Greece,1991.0,1,4.0,FGA aircraft,8.0
Germany,Greece,1991.0,2,501.0,IFV,5.0
United States,Greece,2005.0,2,30.0,FGA aircraft,8.0
United States,Greece,1951.0,1,2.0,minelayer,3.0
United States,Greece,1957.0,2,2.0,submarine,8.0
Italy,Greece,2003.0,4,8.0,transport aircraft,3.0
United Kingdom,Greece,2000.0,2,3.0,FAC,3.0
Denmark,Greece,1988.0,1,2.0,OPV,2.0
Germany,Greece,2000.0,2,12.0,ship engine,2.0
France,Greece,1966.0,1,8.0,light helicopter,2.0
Israel,Greece,2023.0,1,0.0,UAV,3.0
Israel,Greece,2023.0,1,0.0,coastal defence system,8.0
Netherlands,Greece,1991.0,1,11.0,FGA aircraft,8.0
Italy,Greece,1950.0,1,1.0,cruiser,8.0
Germany,Greece,1995.0,1,2.0,FAC,3.0
Germany,Greece,1993.0,1,2.0,FAC,3.0
Germany,Greece,2005.0,2,150.0,tank,8.0
Israel,Greece,2023.0,1,0.0,SSM/ASM,8.0
United States,Greece,2017.0,1,60.0,combat helicopter,5.0
Canada,Greece,1980.0,2,2.0,ASW sonar,3.0
Netherlands,Greece,1981.0,1,1.0,frigate,5.0
United States,Greece,1981.0,1,1.0,naval SAM system,5.0
United States,Greece,1980.0,1,1.0,naval SAM system,5.0
France,Greece,2022.0,1,0.0,frigate,5.0
Spain,Greece,2021.0,1,0.0,UAV,3.0
Germany,Greece,1967.0,1,1.0,FAC,3.0
United States,Greece,1988.0,3,4.0,naval SAM system,5.0
United States,Greece,2007.0,1,40.0,guided glide bomb,5.0
Germany,Greece,1967.0,1,1.0,FAC,3.0
United States,Greece,2016.0,1,15.0,turbojet,2.0
United States,Greece,2000.0,2,3.0,ASW helicopter,5.0
France,Greece,1978.0,2,6.0,FAC,3.0
United States,Greece,1978.0,1,1.0,light transport aircraft,2.0
Germany,Greece,1988.0,3,4.0,frigate,5.0
United Kingdom,Greece,1999.0,2,2.0,MCM ship,3.0
Brazil,Greece,1999.0,1,4.0,AEW&C aircraft,8.0
Sweden,Greece,1999.0,1,2.0,AEW&C aircraft,8.0
United States,Greece,1971.0,1,1.0,AALS,1.0
United States,Greece,1971.0,1,1.0,landing ship,5.0
United States,Greece,1972.0,2,3.0,destroyer,8.0
United States,Greece,1992.0,1,3.0,frigate,5.0
United States,Greece,1990.0,1,4.0,destroyer,8.0
Germany,Greece,2003.0,2,8.0,ship engine,2.0
United Kingdom,Greece,1980.0,2,4.0,ship engine,2.0
United States,Greece,1991.0,1,26.0,FGA aircraft,8.0
Jordan,Greece,1983.0,1,15.0,FGA aircraft,8.0
United States,Greece,1959.0,1,1.0,tanker,2.0
Italy,Greece,2018.0,1,12.0,light aircraft,2.0
United Kingdom,Greece,2003.0,2,2.0,FAC,3.0
United States,Greece,1990.0,1,28.0,FGA aircraft,8.0
United States,Greece,1998.0,1,18.0,self-propelled MRL,5.0
Germany,Greece,2002.0,1,1.0,submarine,8.0
Italy,Greece,1999.0,1,1.0,replenishment ship,2.0
United States,Greece,1999.0,1,7.0,transport helicopter,3.0
United States,Greece,1980.0,1,7.0,ASW sonar,3.0
United States,Greece,1972.0,1,1.0,tanker,2.0
Germany,Greece,2002.0,1,1.0,submarine,8.0
Russia,Greece,2000.0,1,1.0,landing craft,3.0
United States,Greece,1950.0,1,206.0,light tank,5.0
United States,Greece,1993.0,1,11.0,APC,3.0
Netherlands,Greece,2000.0,2,3.0,EO search/fire control,3.0
United Kingdom,Greece,2008.0,2,2.0,FAC,3.0
Netherlands,Greece,2003.0,3,4.0,fire control radar,3.0
United States,Greece,1991.0,1,150.0,APC,3.0
Germany,Greece,2020.0,1,0.0,anti-ship/ASW torpedo,5.0
Israel,Greece,2023.0,1,0.0,SSM/ASM,8.0
Israel,Greece,2020.0,1,2.0,maritime patrol UAV,3.0
United States,Guatemala,2017.0,1,1.0,patrol craft,2.0
United States,Guatemala,2022.0,1,2.0,helicopter,3.0
United States,Guatemala,1965.0,1,2.0,trainer aircraft,2.0
United States,Guatemala,1963.0,1,2.0,fighter aircraft,8.0
Nicaragua,Guatemala,1955.0,1,1.0,fighter aircraft,8.0
United States,Guatemala,1955.0,1,1.0,light transport aircraft,2.0
United States,Guatemala,1951.0,1,6.0,transport aircraft,3.0
Israel,Guatemala,1974.0,2,10.0,transport aircraft,3.0
United States,Guatemala,2023.0,1,4.0,APC,3.0
Venezuela,Guatemala,2008.0,1,1.0,light transport aircraft,2.0
United States,Guatemala,1964.0,1,3.0,light aircraft,2.0
United States,Guatemala,1964.0,1,2.0,trainer aircraft,2.0
United States,Guatemala,1974.0,1,3.0,transport aircraft,3.0
United States,Guatemala,1954.0,1,3.0,light helicopter,2.0
United States,Guatemala,2018.0,1,1.0,light transport aircraft,2.0
United States,Guatemala,1954.0,3,13.0,fighter aircraft,8.0
United States,Guatemala,1984.0,1,2.0,transport aircraft,3.0
United States,Guatemala,1965.0,1,4.0,helicopter,3.0
Israel,Guinea,2000.0,1,2.0,light helicopter,2.0
France,Guinea,2017.0,1,1.0,helicopter,3.0
unknown supplier(s),Guinea,2012.0,1,1.0,transport aircraft,3.0
France,Guinea-Bissau,1978.0,1,1.0,light aircraft,2.0
Portugal,Guinea-Bissau,1974.0,1,2.0,light transport aircraft,2.0
Portugal,Guinea-Bissau,1974.0,1,9.0,transport aircraft,3.0
Portugal,Guinea-Bissau,1974.0,1,2.0,light helicopter,2.0
France,Guinea-Bissau,1984.0,1,1.0,light helicopter,2.0
Angola,Guinea-Bissau,1980.0,1,1.0,light transport aircraft,2.0
Libya,GUNT (Chad)*,1981.0,1,1.0,transport aircraft,3.0
United States,Guyana,2020.0,2,2.0,helicopter,3.0
Soviet Union,Guyana,1985.0,1,3.0,transport helicopter,3.0
United States,Guyana,1974.0,1,2.0,light helicopter,2.0
Brazil,Guyana,1981.0,1,1.0,helicopter,3.0
United Kingdom,Guyana,1976.0,1,1.0,patrol craft,2.0
Brazil,Guyana,2018.0,1,2.0,light transport aircraft,2.0
United States,Guyana,2021.0,1,1.0,patrol craft,2.0
Canada,Haiti,1983.0,1,4.0,turbofan,2.0
United States,Haiti,1973.0,1,8.0,light aircraft,2.0
Italy,Haiti,1983.0,1,4.0,trainer/combat aircraft,5.0
United States,Haiti,1960.0,1,1.0,support ship,2.0
Italy,Haiti,1982.0,1,6.0,trainer aircraft,2.0
United States,Haiti,1978.0,1,1.0,tug,1.0
United States,Haiti,1960.0,1,1.0,transport aircraft,3.0
United States,Haiti,1957.0,1,10.0,trainer aircraft,2.0
United Kingdom,Honduras,1978.0,1,12.0,light tank,5.0
Taiwan,Honduras,2013.0,1,4.0,helicopter,3.0
United States,Honduras,2023.0,1,0.0,patrol craft,2.0
Netherlands,Honduras,2012.0,1,2.0,patrol craft,2.0
United States,Honduras,2011.0,2,4.0,light aircraft,2.0
United States,Honduras,1984.0,1,3.0,light aircraft,2.0
United States,Honduras,1954.0,1,1.0,fighter aircraft,8.0
United States,Honduras,1986.0,1,1.0,landing craft,3.0
United States,Honduras,1986.0,1,5.0,helicopter,3.0
Israel,Honduras,1976.0,1,2.0,transport aircraft,3.0
Israel,Honduras,2016.0,1,1.0,patrol craft,2.0
unknown supplier(s),Honduras,2019.0,1,1.0,light helicopter,2.0
United States,Honduras,1985.0,1,5.0,helicopter,3.0
United Kingdom,Honduras,1978.0,1,3.0,light tank,5.0
United Kingdom,Honduras,1978.0,1,1.0,APC,3.0
Germany,Hungary,2019.0,1,1.0,AEV/ARV,2.0
Germany,Hungary,2018.0,3,20.0,light helicopter,2.0
Turkiye,Hungary,2018.0,1,10.0,APC,3.0
Sweden,Hungary,2001.0,2,14.0,FGA aircraft,8.0
Sweden,Hungary,2015.0,1,1.0,FGA aircraft,8.0
Israel,Hungary,2023.0,1,0.0,loitering munition,5.0
Soviet Union,Hungary,1951.0,1,12.0,self-propelled MRL,5.0
Russia,Hungary,1994.0,4,555.0,APC,3.0
Romania,Hungary,1994.0,1,12.0,trainer aircraft,2.0
Czechoslovakia,Hungary,1980.0,1,1.0,light transport aircraft,2.0
Soviet Union,Hungary,1976.0,1,1.0,height-finding radar,3.0
Soviet Union,Hungary,1963.0,3,3.0,air search radar,3.0
Soviet Union,Hungary,1976.0,1,2.0,air search radar,3.0
Soviet Union,Hungary,1963.0,3,3.0,height-finding radar,3.0
Soviet Union,Hungary,1977.0,2,4.0,height-finding radar,3.0
Soviet Union,Hungary,1957.0,1,40.0,fighter aircraft,8.0
Soviet Union,Hungary,1954.0,1,20.0,trainer aircraft,2.0
Soviet Union,Hungary,1974.0,2,10.0,transport aircraft,3.0
Finland,Hungary,2011.0,1,2.0,transport helicopter,3.0
United States,Hungary,2009.0,1,3.0,APC,3.0
United States,Hungary,2013.0,1,12.0,APC,3.0
United States,Hungary,2001.0,2,14.0,turbofan,2.0
Germany,Hungary,1995.0,1,2.0,combat helicopter,5.0
